region,prefecture,commune,canton,etab_nom,categorie,statut_simplifie,lat,lon
Kara,Assoli,Assoli 1,Bafilo,Cef Microfinance Bafilo,Micro-Finance,Actif,9.35139418329441,1.2453006548593477
Kara,Assoli,Assoli 1,Bafilo,SPT Bafilo,Banque,Actif,9.35663883344696,1.2426567541740527
Kara,Assoli,Assoli 1,Bafilo,COOPEC Ariziki,Micro-Finance,Actif,9.35788333333333,1.241955
Kara,Kozah,Kozah 1,Commune De Kara,COMEC Kara Camp Général Ameyi,Micro-Finance,Actif,9.570435000000002,1.1779250000000006
Kara,Kozah,Kozah 1,Commune De Kara,UTB Kara,Banque,Actif,9.557224354969131,1.183997811949712
Kara,Assoli,Assoli 1,Bafilo,Promofinance Bafilo,Micro-Finance,Actif,9.353026666666668,1.2436866666666664
Kara,Assoli,Assoli 1,Bafilo,MUCAD Bafilo,Micro-Finance,Actif,9.354090029712957,1.2439943257280484
Kara,Kozah,Kozah 1,Commune De Kara,ORABANK Ewaou,Banque,Actif,9.549658000938429,1.1864912624891424
Kara,Kozah,Kozah 2,Pya,Promofinance Ténouyo,Micro-Finance,Actif,9.662645505430786,1.151751363056403
Kara,Kozah,Kozah 2,Pya,SUNU Bank Pya,Banque,Actif,9.667835000000002,1.1563300000000003
Kara,Dankpen,Dankpen 1,Guérin-Kouka,Assoli,Micro-Finance,Actif,9.687836666666666,0.6067900000000003
Kara,Assoli,Assoli 1,Bafilo,COOPEC ADESEM Bafilo,Micro-Finance,Actif,9.350101666666664,1.2473149999999995
Kara,Doufelgou,Doufelgou 1,Niamtougou,Fonds Social de Solidarite,Micro-Finance,Inactif,9.765915934646785,1.1088002784319737
Kara,Assoli,Assoli 1,Bafilo,SUNU Bank Bafilo,Banque,Actif,9.363648840406382,1.2465922377779206
Kara,Kozah,Kozah 1,Commune De Kara,Promo Finance Kara,Micro-Finance,Actif,9.549825,1.190335
Kara,Kozah,Kozah 1,Commune De Kara,MUFEC Lama,Micro-Finance,Inactif,9.545616666666666,1.193238333333333
Kara,Kozah,Kozah 1,Commune De Kara,FUCEC Togo Kara,Micro-Finance,Inactif,9.54599481642617,1.1895597196310683
Kara,Kozah,Kozah 1,Commune De Kara,Promo Finance Tomdè,Micro-Finance,Actif,9.55893971986101,1.1929045224519192
Kara,Dankpen,Dankpen 1,Guérin-Kouka,Promofinance Guérin Kouka,Micro-Finance,Actif,9.691299545076577,0.607913217071084
Kara,Dankpen,Dankpen 1,Guérin-Kouka,FUCEC Togo Guérin Kouka,Micro-Finance,Actif,9.690883015666522,0.6076439852015187
Kara,Dankpen,Dankpen 1,Guérin-Kouka,SUNU Bank Guerin kouka,Banque,Actif,9.69098657157564,0.607948302392737
Kara,Binah,Binah 1,Pagouda,COOPEC Pagouda,Micro-Finance,Actif,9.753071666666669,1.3282716666666663
Kara,Dankpen,Dankpen 1,Guérin-Kouka,MUCAD Guérin Kouka,Micro-Finance,Actif,9.686661666666668,0.6089583333333335
Kara,Dankpen,Dankpen 1,Guérin-Kouka,UTB Guérin Kouka,Banque,Actif,9.68979833333333,0.608206666666666
Kara,Binah,Binah 2,Kétao,Micro-finance UMECTO,Micro-Finance,Actif,9.656716666666666,1.3071466666666665
Kara,Binah,Binah 2,Kétao,FUCEC Togo Ketao,Micro-Finance,Actif,9.660192574355834,1.3053182226434377
Kara,Binah,Binah 2,Kétao,SUNU Bank Ketao,Banque,Actif,9.658283091634448,1.3092182485343231
Kara,Binah,Binah 2,Kétao,SPT Ketao,Banque,Actif,9.6589212950631,1.308253590411621
Kara,Binah,Binah 2,Kétao,UTB Ketao,Banque,Actif,9.65898470765692,1.3089801819764006
Kara,Binah,Binah 2,Kétao,Promofinace de Ketao,Micro-Finance,Actif,9.66116912180659,1.3103669654981691
Kara,Binah,Binah 1,Pagouda,SPT Pagouda,Banque,Actif,9.750391631457337,1.325414215878476
Kara,Binah,Binah 2,Kétao,Microfinance MUCAD Ketao,Micro-Finance,Actif,9.657653968012646,1.3090748377137882
Kara,Bassar,Bassar 1,Bassar,SUNU Bank Bassar,Banque,Actif,9.258141930199509,0.7837097037461499
Kara,Bassar,Bassar 1,Bassar,ORABANK Togo Bassar,Banque,Actif,9.2570711054529,0.7851603845733981
Kara,Bassar,Bassar 1,Bassar,UTB Bassar,Banque,Actif,9.262254004092847,0.7814020907649645
Kara,Bassar,Bassar 1,Bassar,SPT Bassar,Banque,Actif,9.262185,0.7793183333333322
Kara,Bassar,Bassar 1,Bassar,COOPEC AD Bassar,Micro-Finance,Actif,9.264693333333335,0.7796333333333333
Kara,Bassar,Bassar 1,Bassar,URCLEC Bassar,Micro-Finance,Actif,9.261451216466083,0.7789651095010675
Kara,Bassar,Bassar 2,Bangeli,COOPEC ADESEM Bangeli,Micro-Finance,Actif,9.422103333333332,0.62418
Kara,Bassar,Bassar 2,Bangeli,SPT Bangeli,Banque,Actif,9.422101666666668,0.6246133333333327
Savanes,Oti,Oti 1,Mango,SUNU Mango,Banque,Actif,10.354379899748068,0.4704628173648756
Kara,Bassar,Bassar 3,Kabou,COOPEC ADESEM Sankpana,Micro-Finance,Actif,9.455804999999998,0.8176699999999999
Maritime,Avé,Avé 1,Assahoun,UTB Assahoun,Banque,Actif,6.456482289715696,0.9095906393193488
Kara,Bassar,Bassar 3,Kabou,FUCEC Togo Kabou,Micro-Finance,Actif,9.454095,0.8109583333333329
Kara,Bassar,Bassar 3,Kabou,BTCI Kabou,Banque,Actif,9.456295504129102,0.813139962823082
Kara,Bassar,Bassar 1,Bassar,COOPEC Bilimon Bassar,Micro-Finance,Actif,9.259053265635966,0.7829177879262712
Kara,Doufelgou,Doufelgou 3,Alloum,MEC-D Broukou,Micro-Finance,Actif,9.738439456101142,0.9212603058598732
Kara,Doufelgou,Doufelgou 1,Niamtougou,BTCI Niamtougou,Banque,Actif,9.765265000000005,1.10898
Kara,Doufelgou,Doufelgou 1,Siou,MEC-D  Siou,Micro-Finance,Actif,9.821415000000002,1.2002383333333335
Kara,Doufelgou,Doufelgou 2,Défalé,MEC-D de defale,Micro-Finance,Actif,9.865460748016316,1.0905210478622869
Kara,Doufelgou,Doufelgou 1,Niamtougou,SUNU Bank Niamtougou,Banque,Actif,9.761561464617031,1.1073076816539842
Kara,Doufelgou,Doufelgou 3,Alloum,Promofinance Broukou,Micro-Finance,Actif,9.73983174900369,0.9215777363608127
